encoding,weight,pep_col,key,mean_auc_CEDAR,mean_auc01_CEDAR,mean_AP_CEDAR,mean_auc_PRIME,mean_auc01_PRIME,mean_AP_PRIME,mean_auc_IBEL,mean_auc01_IBEL,mean_AP_IBEL,mean_auc_NEPDB,mean_auc01_NEPDB,mean_AP_NEPDB
BL62FREQ,Inverted KL,icore_mut,EL_rank_wt_aligned,0.7098824488331301,0.5853900657254976,0.4246414692144656,0.6150161665155873,0.5193753082201185,0.04838212516640385,0.5996894333554232,0.5108463841773544,0.13036408683250061,0.5104106481839585,0.4913642926976445,0.243477422629366
BL62FREQ,Inverted KL,icore_mut,EL_rank_wt_aligned-foreignness_score,0.7112364913144351,0.5853581255103031,0.4243874612194184,0.6159920983117437,0.5207467177214758,0.04865309167978067,0.6026356172301603,0.5082916311196026,0.12996160018324782,0.513660851517473,0.49231351947329105,0.24563167235411082
BL62FREQ,Inverted KL,icore_mut,EL_rank_wt_aligned-ratio_rank,0.7127201805962052,0.587566494558325,0.4289093011797523,0.6212765725813786,0.5258545165638024,0.049529976224613324,0.5903102986389835,0.5150165287795452,0.13500754966530684,0.5081556456624573,0.505343528806504,0.27097624951387966
BL62FREQ,Inverted KL,icore_mut,EL_rank_wt_aligned-ratio_rank-foreignness_score,0.7113410446990227,0.5877316517695668,0.4284040627708132,0.622975694487276,0.5259444105927827,0.04972873998613818,0.584137329547123,0.5150169349292588,0.1343392563292271,0.5039184288705262,0.505343528806504,0.2695392023736324
BL62FREQ,Inverted KL,icore_mut,aa_props,0.7265509693970095,0.5800969436333018,0.4270349522484249,0.6386785518809542,0.5067564703175417,0.04814465079041724,0.5835196285101978,0.5312468925409912,0.15154057134808713,0.5368569194115137,0.48289886744841926,0.250005043354444
BL62FREQ,Inverted KL,icore_mut,aa_props-EL_rank_wt_aligned,0.7311395495603049,0.5839559926416857,0.43506685393246497,0.6439405661109626,0.5042963542041541,0.04830396539421971,0.5859413860634525,0.5127386927341804,0.13045440675911726,0.5254708047285304,0.48823850868683977,0.24834076645343267
BL62FREQ,Inverted KL,icore_mut,aa_props-foreignness_score,0.7255265026794011,0.579590930420109,0.4254147677615464,0.6386693946931389,0.5062934312773747,0.04837158541515657,0.577974183994712,0.5312468925409912,0.15052950101821672,0.5418105681404148,0.48327700837720156,0.254127566530069
BL62FREQ,Inverted KL,icore_mut,aa_props-icore_blsm_mut_score,0.7260873467561588,0.5807264277380259,0.4264729741630186,0.6404399123013798,0.5079373051096577,0.04825032966456373,0.5688819489719652,0.5312468925409912,0.14864018275699625,0.5532032831589317,0.4823459848574091,0.2546334320083056
BL62FREQ,Inverted KL,icore_mut,aa_props-icore_blsm_mut_score-EL_rank_wt_aligned-ratio_rank,0.7326070438784699,0.5871285847861659,0.4386136391232229,0.6497451815985582,0.5104255153138816,0.0488130267168694,0.5711681499708519,0.5132513309697797,0.13024611941061956,0.5158682549836527,0.5004031623968214,0.2533952897928123
BL62FREQ,Inverted KL,icore_mut,aa_props-icore_blsm_mut_score-foreignness_score,0.7257980481624154,0.5794553815231777,0.42634992499193186,0.6394683642462933,0.5065281577576153,0.048369029350299034,0.5666486581266353,0.5312468925409912,0.14873278645907512,0.5499969313268787,0.48308161279798206,0.2566733524874163
BL62FREQ,Inverted KL,icore_mut,aa_props-icore_dissimilarity_score,0.7273321666312301,0.5810301694921309,0.4301493450075779,0.6464099975610941,0.5151388010913648,0.04928826782967303,0.5870635689060744,0.5455093862323883,0.1572319792472349,0.5376887145059923,0.4825315030626465,0.2492519531712053
BL62FREQ,Inverted KL,icore_mut,aa_props-icore_dissimilarity_score-EL_rank_wt_aligned-ratio_rank,0.7346315878696275,0.5871231071010348,0.44188043874253724,0.6569927652368162,0.5161488592886055,0.04988071573788458,0.5947762855522446,0.525537550770226,0.14000361137793976,0.507652250468394,0.50246296165918,0.25750738008070634
BL62FREQ,Inverted KL,icore_mut,aa_props-icore_dissimilarity_score-foreignness_score,0.7276715125099887,0.57984424540733,0.4299325534043963,0.6443375339161567,0.5157869414556744,0.049416815554047346,0.589024909740012,0.5480124887094492,0.1607860535629981,0.5401917562295016,0.48015569264516844,0.24937161302684954
BL62FREQ,Inverted KL,icore_mut,aa_props-icore_dissimilarity_score-icore_blsm_mut_score-EL_rank_wt_aligned-ratio_rank,0.7347574255652362,0.5882488457588776,0.44256860719924823,0.6557873946768362,0.5152384548085676,0.04967509276188579,0.5806348507961278,0.5209567486008168,0.1351330325110139,0.5142631794635212,0.5003809874814008,0.2515252529675307
BL62FREQ,Inverted KL,icore_mut,aa_props-icore_dissimilarity_score-icore_blsm_mut_score-foreignness_score,0.7270891297097676,0.5812808695410022,0.430210680801098,0.6441981020490509,0.5150455299614494,0.04928952467664342,0.5774963153572682,0.5480372735816195,0.1614794163312884,0.545962452776851,0.48257181475346445,0.25286108305432553
