auc,prauc,AP,auc_01,f1,accuracy,precision,recall,evalset,encoding,weight,cols
0.6023310387984981,0.283377670275891,0.287029123660818,0.5211942559778671,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,onehot,Inverted Mask,blsm_mut_score-mutation_score-ratio_rank
0.7057011692150978,0.381285523816453,0.3821092136916775,0.5689801360471276,0.020033388981636,0.8064622485987472,0.8571428571428571,0.0101351351351351,cedar_related,onehot,Inverted Mask,blsm_mut_score-mutation_score-ratio_rank
0.6616316829273731,0.0340674173643725,0.0343563314167299,0.5421876738594213,0.0,0.9805668609980568,0.0,0.0,prime_related,onehot,Inverted Mask,blsm_mut_score-mutation_score-ratio_rank
0.5796151439299124,0.2451073228649461,0.2476302616683504,0.5048909821487385,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,onehot,Inverted KL,blsm_mut_score-mutation_score-ratio_rank
0.7231155264235969,0.3977865764416197,0.3986824703339293,0.5740168546691973,0.093603744149766,0.8084404879657106,0.6122448979591837,0.0506756756756756,cedar_related,onehot,Inverted KL,blsm_mut_score-mutation_score-ratio_rank
0.6344638426379247,0.0315161688701946,0.0317970925998796,0.531750347669297,0.0091047040971168,0.9760569060976056,0.0196078431372549,0.0059288537549407,prime_related,onehot,Inverted KL,blsm_mut_score-mutation_score-ratio_rank
0.580921464330413,0.2471737118246921,0.2496409436152026,0.5049733219155523,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,onehot,Inverted Shannon,blsm_mut_score-mutation_score-ratio_rank
0.7223861510014726,0.3958626661202079,0.3967634474189988,0.5722784601371893,0.0907668231611893,0.8084404879657106,0.6170212765957447,0.0489864864864864,cedar_related,onehot,Inverted Shannon,blsm_mut_score-mutation_score-ratio_rank
0.6346542576244627,0.0311260122777209,0.0313884944554514,0.5301684977362335,0.0091324200913242,0.9761302386976132,0.0198675496688741,0.0059288537549407,prime_related,onehot,Inverted Shannon,blsm_mut_score-mutation_score-ratio_rank
0.5663094493116395,0.2501680165997399,0.2525640568152014,0.5141542059152888,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,onehot,Mask,blsm_mut_score-mutation_score-ratio_rank
0.7088075888260239,0.3716956245707228,0.372678221577307,0.5652884605859012,0.0233333333333333,0.8067919551599076,0.875,0.0118243243243243,cedar_related,onehot,Mask,blsm_mut_score-mutation_score-ratio_rank
0.6684700838785768,0.0371773516449736,0.0375464069920086,0.5536155652261424,0.0038684719535783,0.9811168554981116,0.0909090909090909,0.0019762845849802,prime_related,onehot,Mask,blsm_mut_score-mutation_score-ratio_rank
0.6001877346683355,0.3139507393476383,0.3162935166520461,0.530210460443976,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,onehot,KL,blsm_mut_score-mutation_score-ratio_rank
0.714486198611557,0.3869660021227403,0.387753562601944,0.5632113468176125,0.0523731587561374,0.8090999010880316,0.8421052631578947,0.027027027027027,cedar_related,onehot,KL,blsm_mut_score-mutation_score-ratio_rank
0.6586968999495131,0.035806730780875,0.0362968875126619,0.5471350205658366,0.0075471698113207,0.9807135261980714,0.0833333333333333,0.0039525691699604,prime_related,onehot,KL,blsm_mut_score-mutation_score-ratio_rank
0.6054443053817271,0.2836721460611161,0.2875960604199534,0.5210707463276464,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,onehot,None,blsm_mut_score-mutation_score-ratio_rank
0.713655098154279,0.3799079533003656,0.3810262140231256,0.5714549717573716,0.048780487804878,0.8071216617210683,0.6521739130434783,0.0253378378378378,cedar_related,onehot,None,blsm_mut_score-mutation_score-ratio_rank
0.6672699304833942,0.0357862916659072,0.0362694129335716,0.5430667902530563,0.0112994350282485,0.980750192498075,0.12,0.0059288537549407,prime_related,onehot,None,blsm_mut_score-mutation_score-ratio_rank
0.61034887359199,0.3172806908475713,0.3197235526258721,0.5296340820762796,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,onehot,Shannon,blsm_mut_score-mutation_score-ratio_rank
0.7146709644917347,0.3875313856370902,0.3883044427445741,0.5634841432777999,0.0523731587561374,0.8090999010880316,0.8421052631578947,0.027027027027027,cedar_related,onehot,Shannon,blsm_mut_score-mutation_score-ratio_rank
0.659606447145776,0.0358984800724951,0.0363170999824823,0.5476909821201723,0.0075187969924812,0.980640193598064,0.0769230769230769,0.0039525691699604,prime_related,onehot,Shannon,blsm_mut_score-mutation_score-ratio_rank
0.5985215894868585,0.252183798016835,0.2552031520823647,0.5025854686779527,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,BL62LO,Inverted Mask,blsm_mut_score-mutation_score-ratio_rank
0.6949889002070486,0.3723842798102517,0.374002872390389,0.5665544692582791,0.1201848998459167,0.8117375535773161,0.6842105263157895,0.0658783783783783,cedar_related,BL62LO,Inverted Mask,blsm_mut_score-mutation_score-ratio_rank
0.630938470487006,0.0257318901662622,0.0258794970357965,0.5017058852783689,0.0283286118980169,0.962270377296227,0.0271247739602169,0.0296442687747035,prime_related,BL62LO,Inverted Mask,blsm_mut_score-mutation_score-ratio_rank
0.6067819148936171,0.2766508238630251,0.2798323772018549,0.5228822211975496,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,BL62LO,Inverted KL,blsm_mut_score-mutation_score-ratio_rank
0.689850055914169,0.3871983574706857,0.3884048555818829,0.5791559174906163,0.1471471471471471,0.8127266732607978,0.6621621621621622,0.0827702702702702,cedar_related,BL62LO,Inverted KL,blsm_mut_score-mutation_score-ratio_rank
0.6078179269470947,0.0251511762041929,0.0254288432022405,0.5122024332067198,0.0184994861253854,0.9649836834964984,0.019271948608137,0.0177865612648221,prime_related,BL62LO,Inverted KL,blsm_mut_score-mutation_score-ratio_rank
0.5967537546933668,0.2670153239634119,0.2698310060595127,0.5171596074039918,0.0,0.783410138248848,0.0,0.0,ibel_neoepi,BL62LO,Inverted Shannon,blsm_mut_score-mutation_score-ratio_rank
0.6889836630977557,0.3862179996764727,0.3874239287220816,0.578767300904475,0.1447963800904977,0.8130563798219584,0.676056338028169,0.081081081081081,cedar_related,BL62LO,Inverted Shannon,blsm_mut_score-mutation_score-ratio_rank
